"STATION","NAME","DATE","CDSD","CLDD","DT00","DT32","DX32","DX70","DX90","EMNT","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"IDM00096525","TANJUNG SELOR, ID","2022-01",,,,,"0","29","8",,"93",,,,,"88.4",
"IDM00096525","TANJUNG SELOR, ID","2022-02",,,,,"0","27","15",,"93",,,,,"88.9",
"IDM00096525","TANJUNG SELOR, ID","2022-03",,,,,"0","30","20",,"95",,,,,"90.9",
"IDM00096525","TANJUNG SELOR, ID","2022-04",,,,,"0","29","20",,"94",,,,,"90.7",
"IDM00096525","TANJUNG SELOR, ID","2022-05",,,,,"0","29","21",,"94",,,,,"90.3",
"IDM00096525","TANJUNG SELOR, ID","2022-06",,,,,"0","30","25",,"95",,,,,"91.5",
"IDM00096525","TANJUNG SELOR, ID","2022-07",,,,,"0","31","21",,"95",,,,,"90.0",
"IDM00096525","TANJUNG SELOR, ID","2022-08",,,,,"0","31","23",,"95",,,,,"90.6",
"IDM00096525","TANJUNG SELOR, ID","2022-09",,,,,"0","30","21",,"95",,,,,"90.9",
"IDM00096525","TANJUNG SELOR, ID","2022-10",,,,,"0","28","20",,"96",,,,,"90.8",
"IDM00096249","H AS HANANDJOEDDIN, ID","2022-01",,,,,"0","29","0",,"89",,,,,"86.7",
"IDM00096249","H AS HANANDJOEDDIN, ID","2022-02",,,,,"0","27","3",,"93",,,,,"87.9",
"IDM00096249","H AS HANANDJOEDDIN, ID","2022-03",,,,,"0","29","8",,"92",,,,,"88.7",
"IDM00096249","H AS HANANDJOEDDIN, ID","2022-04",,,,,"0","26","13",,"92",,,,,"89.2",
"IDM00096249","H AS HANANDJOEDDIN, ID","2022-05",,,,,"0","30","13",,"93",,,,,"89.5",
"IDM00096249","H AS HANANDJOEDDIN, ID","2022-06",,,,,"0","28","6",,"92",,,,,"87.5",
"IDM00096249","H AS HANANDJOEDDIN, ID","2022-07",,,,,"0","30","10",,"91",,,,,"88.2",
"IDM00096249","H AS HANANDJOEDDIN, ID","2022-08",,,,,"0","29","9",,"92",,,,,"88.0",
"IDM00096249","H AS HANANDJOEDDIN, ID","2022-09",,"400","0","0","0","29","8","73","92",,"0",,"80.8","87.8","73.8"
"IDM00096249","H AS HANANDJOEDDIN, ID","2022-10",,,,,"0","30","2",,"91",,,,,"86.7",
"IDM00096645","ISKANDAR, ID","2022-01",,,,,"0","31","23",,"95",,,,,"90.8",
"IDM00096645","ISKANDAR, ID","2022-02",,"412","0","0","0","28","19","72","95",,"0",,"82.1","90.8","73.3"
"IDM00096645","ISKANDAR, ID","2022-03",,,,,"0","31","27",,"95",,,,,"91.9",
